name,ratings,location,price_lakhs,price_crores,area_sqft,bhk
ds max stone hill,3.8,jp nagar,80.0,0.8,1450,3
provident sunworth,4.3,mysore road,48.9,0.489,920,2
provident sunworth,4.3,mysore road,59.6,0.596,1200,3
provident sunworth,4.3,mysore road,57.0,0.57,1082,3
provident sunworth,4.3,mysore road,56.8,0.568,1082,3
provident sunworth,4.3,mysore road,47.3,0.473,1000,2
provident sunworth,4.3,mysore road,58.3,0.583,1082,3
provident sunworth,4.3,mysore road,56.98,0.5698,1082,3
provident sunworth,4.3,mysore road,57.65,0.5765,1082,3
provident sunworth,4.3,mysore road,47.9,0.479,883,2
provident sunworth,4.3,mysore road,48.2,0.48200000000000004,883,2
prestige waterford,3.9,whitefield,365.0,3.65,2027,3
provident sunworth,4.3,mysore road,46.8,0.46799999999999997,883,2
prestige finsbury park,4.1,bagalur,98.1,0.981,999,2
prestige waterford,3.9,whitefield,434.99999999999994,4.35,2555,4
"vidyapeeta, banashankari, bangalore south",,"vidyapeeta, banashankari",195.0,1.95,2200,3
prestige city avalon park,,sarjapur road,110.00000000000001,1.1,944,2
siri nakshatra,,"ksrtc layout, chikkalasandra",55.0,0.55,1000,2
jade residency,,kammanahalli,123.0,1.23,1348,3
"roshini homes, babusapalaya",,"babusapalaya, hennur gardens",87.0,0.87,1450,3
roshini homes,,hennur gardens,78.0,0.78,1301,3
roshini homes,,hennur road,87.0,0.87,1450,3
roshini homes,,hennur gardens,60.0,0.6,1001,2
roshini homes,,horamavu banaswadi,78.0,0.78,1300,3
roshini homes,,hennur road,66.0,0.66,1100,2
roshini homes,,horamavu banaswadi,60.0,0.6,1000,2
slv central park,3.5,whitefield,100.0,1.0,1100,2
sri nandana galaxy,,sarjapur road,70.0,0.7,1040,2
nandanaroyal,,"maragondanahalli, bommasandra",61.95,0.6195,1400,3
navami landmaark,3.8,rajarajeshwari nagar,130.0,1.3,1329,2
parkside at brigade orchards,,devanahalli,75.0,0.75,1170,1
on request,,"cambridge layout, mg road",245.00000000000003,2.45,1950,3
on request,,indira nagar,350.0,3.5,1725,3
on request,,indira nagar,330.0,3.3,2200,3
on request,,cooke town,220.00000000000003,2.2,1950,3
on request,,frazer town,120.0,1.2,1100,2
prestige finsbury park,4.1,bagalur,148.0,1.48,1431,3
prestige jindal city,4.1,tumkur road,125.0,1.25,1058,2
sai vajra,,"vidyapeeta, banashankari",130.0,1.3,1600,3
provident park square,4.1,kanakapura road,53.0,0.53,575,1
vaishnavi serene,3.5,yelahanka,114.99999999999999,1.15,1118,3
